canonical_reported_name,province_reported,city_reported,trial_count,active_trial_count,name_variants,resolution_status,candidate_count,first_trial_id,source_url,review_reason,candidates_json
Cancer Hospital Chinese Academy of Medical Science,,Beijing,16,8,"Cancer Hospital Chinese Academy of Medical Science | Cancer Hospital, Chinese Academy of Medical Science | Cancer hospital Chinese academy of medical science",unmatched,0,NCT03349203,https://clinicaltrials.gov/study/NCT03349203,,[]
"Cancer Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College",Beijing Municipality,Beijing,16,9,"Cancer Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College | Cancer Hospital,Chinese Academy of Medical Sciences and Peking Union Medical College | Cancer hospital, Chinese academy of medical sciences and Peking union medical college | cancer hospital， Chinese Academy of medical sciences and Peking union medical college | Cancer Hospital Chinese Academy of Medical Sciences and Peking Union Medical College",unmatched,0,NCT03944499,https://clinicaltrials.gov/study/NCT03944499,,[]
Central laboratory in Fuda cancer hospital,Guangdong,Guangzhou,16,0,Central laboratory in Fuda cancer hospital,unmatched,0,NCT02447263,https://clinicaltrials.gov/study/NCT02447263,,[]
Changzhou Second People's Hospital,,Changzhou,16,7,Changzhou Second People's Hospital,unmatched,0,NCT03635749,https://clinicaltrials.gov/study/NCT03635749,,[]
Chifeng Municipal Hospital,Inner Mongolia,Chifeng,16,7,Chifeng Municipal Hospital | Chifeng Municipal hospital,unmatched,0,NCT00829660,https://clinicaltrials.gov/study/NCT00829660,,[]
Children's Hospital of Chongqing Medical University,,Chongqing,16,9,Children's Hospital of Chongqing Medical University | Children's hospital of Chongqing medical university,unmatched,0,NCT02336178,https://clinicaltrials.gov/study/NCT02336178,,[]
Children's Hospital of Shanghai,,Shanghai,16,6,Children's Hospital of Shanghai | Childrens Hospital of Shanghai | Children's hospital of Shanghai,unmatched,0,NCT02932410,https://clinicaltrials.gov/study/NCT02932410,,[]
Chongqing General Hospital,Chongqing Municipality,Chongqing,16,5,Chongqing General Hospital,unmatched,0,NCT03926130,https://clinicaltrials.gov/study/NCT03926130,,[]
Dalian Municipal Central Hospital,Liaoning,Dalian,16,5,Dalian Municipal Central Hospital | Dalian municipal central hospital,unmatched,0,NCT03110172,https://clinicaltrials.gov/study/NCT03110172,,[]
Daqing People's Hospital,Heilongjiang,Daqing,16,4,Daqing People's Hospital | Daqing people's Hospital | Daqing peoples hospital,unmatched,0,NCT02135835,https://clinicaltrials.gov/study/NCT02135835,,[]
"Department of Rheumatology and Immunology, Peking University People's Hospital",Beijing Municipality,Beijing,16,7,"Department of Rheumatology and Immunology, Peking University People's Hospital",unmatched,0,NCT02084238,https://clinicaltrials.gov/study/NCT02084238,,[]
Dongyang People's Hospital,Zhejiang,Dongyang,16,10,Dongyang People's Hospital | Dongyang Peoples Hospital,unmatched,0,NCT04578613,https://clinicaltrials.gov/study/NCT04578613,,[]
First Affiliated Hospital of Dalian Medical University,Liaoning,Dalian,16,6,First Affiliated Hospital of Dalian Medical University | First affiliated hospital of Dalian medical university,unmatched,0,NCT00911508,https://clinicaltrials.gov/study/NCT00911508,,[]
"First Affiliated Hospital, Soochow University",Jiangsu,Suzhou,16,9,"First Affiliated Hospital, Soochow University | First Affiliated Hospital,Soochow University | First affiliated hospital,Soochow University",unmatched,0,NCT01809392,https://clinicaltrials.gov/study/NCT01809392,,[]
First Teaching Hospital of Tianjin University of Traditional Chinese Medicine,Tianjin Municipality,Tianjin,16,8,First Teaching Hospital of Tianjin University of Traditional Chinese Medicine | First Teaching hospital of Tianjin University of Traditional Chinese Medicine,unmatched,0,NCT01555320,https://clinicaltrials.gov/study/NCT01555320,,[]
"First affiliated hospital, Zhejiang University",Zhejiang,Hangzhou,16,4,"First affiliated hospital, Zhejiang University | First Affiliated Hospital,Zhejiang University",unmatched,0,NCT02131493,https://clinicaltrials.gov/study/NCT02131493,,[]
Fudan University Cancer Center,Shanghai Municipality,Shanghai,16,10,Fudan University Cancer Center | Fudan University Cancer center,unmatched,0,NCT01047111,https://clinicaltrials.gov/study/NCT01047111,,[]
General Hospital of Shenyang Military Region,Liaoning,Shenyang,16,4,General Hospital of Shenyang Military Region | General Hospital of ShenYang Military Region | General hospital of shenyang military region,unmatched,0,NCT02203253,https://clinicaltrials.gov/study/NCT02203253,,[]
Guang'anmen Hospital,Beijing Municipality,Beijing,16,7,Guang'anmen Hospital | Guang 'anmen Hospital | Guang Anmen Hospital | Guanganmen Hospital,unmatched,0,NCT01558154,https://clinicaltrials.gov/study/NCT01558154,,[]
